"Name","Description","Section","Assignee","Due Date","Type","Parent Task"
"Projects Module MVP","Implement backend CRUD logic, database schema refinements, and frontend list/detail views for the Projects module which is currently a placeholder; verify connections to clients and tasks.","Projects","","","Milestone",""
"Implement Project UI","Build responsive project list table, detail view, creation form, and settings page relying on App Router patterns.","Projects","","","","Projects Module MVP"
"Project Budget vs Costs Analytics","Develop UI and Server Actions to track project budget against aggregated costs and calculate margins.","Projects","","","","Projects Module MVP"
"Document Generator Milestone","Complete the document module by adding true WYSIWYG template editing and PDF export functionality.","Documents","","","Milestone",""
"PDF Export Service","Integrate a PDF generation library (e.g. react-pdf or Puppeteer) for exporting Offers, Contracts, and Invoices.","Documents","","","","Document Generator Milestone"
"Template Variable Engine","Build logic to replace template variables (e.g. {{clientName}}, {{invoiceAmount}}) with real database values upon generation.","Documents","","","","Document Generator Milestone"
"Revenue Module Finalization","Remove mock logic for MRR and add invoice generation capabilities.","Revenue","","","Milestone",""
"MRR Calculation Logic","Refactor getRevenueKPIs action to calculate true MRR based on recurring retainers rather than just current month billed.","Revenue","","","","Revenue Module Finalization"
"Implement Invoice Creation Flow","Build the 'New Invoice' form, Zod validations, and Prisma server action hooked up to the Revenue dashboard placeholder button.","Revenue","","","","Revenue Module Finalization"
"Global Omnibar Search","Implement CMD+K global search modal for leads, clients, projects, and documents; ensure tenant isolation on search queries.","Frontend","","","",""
"Dashboard UI Responsiveness Sweep","Fix data tables and kanban boards to scroll horizontally on mobile devices without breaking the layout.","Frontend","","","",""
"Convert Lead to Client Workflow","Create action and modal to migrate a successful Lead to the Client database, linking all past activities.","Leads & Clients","","","",""
"Activity Timeline Improvements","Ensure manual note-adding functionality is wired up on both Client and Lead detail views with optimistic updates.","Leads & Clients","","","",""
"Task Kanban Drag & Drop API","Connect frontend drag events in KanbanBoard.tsx to Prisma update actions for task status and positioning.","Tasks","","","",""
"Task Workload Analytics","Complete the workload view for Project Managers to see developer capacity and assigned tasks across active projects.","Tasks","","","",""
"Audit Log Viewer","Create an admin-only page to view system-wide audit logs (who did what) required by SaaS access rules.","Admin","","","",""
"Setup CI/CD Pipeline","Create GitHub Actions workflow for linting, Next.js build verification, and automated testing deployment.","DevOps","","","",""
